t,chi_tdvp,chi_bug,z_exact_1,z_tdvp_1,z_bug_1,err2_tdvp_1,err2_bug_1,z_exact_4,z_tdvp_4,z_bug_4,err2_tdvp_4,err2_bug_4,z_exact_8,z_tdvp_8,z_bug_8,err2_tdvp_8,err2_bug_8
0.66,4.0,4.0,0.6563026486136204,0.656302646687624,0.6563073085193041,3.709462415616696e-18,2.1714720980580216e-11,-0.7668231127165211,-0.7668230484523936,-0.7668246883565591,4.129878092974163e-15,2.4826415293438595e-12,-0.6563026486136193,-0.6563026466876243,-0.6563073441418493,3.709456856076141e-18,2.204798535886113e-11
0.67,4.0,4.0,0.648147953633581,0.6481479514205284,0.6481526840370198,4.897601943327511e-18,2.237671669319789e-11,-0.7636959788496831,-0.7636959076677015,-0.7636975159970588,5.0668745105324545e-15,2.3628220546786997e-12,-0.6481479536335801,-0.6481479514205284,-0.6481527199867828,4.897598012157125e-18,2.2718122852685578e-11
0.68,4.0,4.0,0.6399961796452911,0.6399961771107398,0.6400009777873552,6.423950528440275e-18,2.3022167267389234e-11,-0.760666001134164,-0.7606659225236102,-0.7606674978229127,6.179619175687419e-15,2.240077210196087e-12,-0.6399961796452908,-0.6399961771107403,-0.640001014189128,6.423946026173444e-18,2.337281411440912e-11
0.69,4.0,4.0,0.6318515887447019,0.6318515858511105,0.6318564518344729,8.372871638877231e-18,2.3649642120707928e-11,-0.7577333119763784,-0.7577332254094002,-0.7577347663114036,7.493841704525978e-15,2.1150903654830664e-12,-0.6318515887447014,-0.6318515858511125,-0.6318564887722774,8.372856861237093e-18,2.4010270245824272e-11
0.7,4.0,4.0,0.623718417163844,0.6237184138704018,0.6237233423551125,1.0846761430131862e-17,2.425750903121017e-11,-0.7548978120146419,-0.7548977169473119,-0.7548992221874811,9.037797234886421e-15,1.988587436324007e-12,-0.6237184171638437,-0.6237184138704017,-0.6237233798889164,1.0846759967549773e-17,2.462864014686596e-11
0.71,4.0,4.0,0.6156008724635047,0.6156008687259292,0.6156058568427243,1.396947040396918e-17,2.4844036204639076e-11,-0.7521591762381173,-0.7521590721116211,-0.7521605405383388,1.0842327211549157e-14,1.8613150942826265e-12,-0.6156008724635051,-0.6156008687259297,-0.6156058950175178,1.396947040396918e-17,2.5226048810390933e-11
0.72,4.0,4.0,0.6075031307560702,0.6075031265264133,0.6075081713363011,1.7889997982444545e-17,2.5407449063888455e-11,-0.7495168606211727,-0.7495167468631554,-0.7495181774451105,1.2940886508984751e-14,1.734025283111269e-12,-0.6075031307560707,-0.6075031265264137,-0.6075082101872882,1.7889997982444545e-17,2.5800621493568284e-11
0.73,4.0,4.0,0.5994293339606238,0.5994293291870726,0.5994344276788013,2.2786791259235905e-17,2.594596487152401e-11,-0.7469701092439863,-0.7469699852700532,-0.7469713771017152,1.53695360930833e-14,1.6074632207692779e-12,-0.5994293339606247,-0.5994293291870728,-0.5994344672345068,2.2786797618884118e-17,2.6350500748384976e-11
0.74,4.0,4.0,0.5913835870923986,0.591383581719064,0.5913887308085273,2.8872724240828e-17,2.645781561261898e-11,-0.7445179618691886,-0.7445178270845555,-0.744519179390264,1.8166897325622152e-14,1.4823575690501118e-12,-0.5913835870923996,-0.591383581719064,-0.5913887710927475,2.8872734978908536e-17,2.6873859606817912e-11
0.75,4.0,4.0,0.5833699555885931,0.5833699495553123,0.5833751460861555,3.6400476775719905e-17,2.6941264945529038e-11,-0.7421592619433575,-0.7421591157446752,-0.7421604278816512,2.1374054697923987e-14,1.3594121046931237e-12,-0.5833699555885942,-0.583369949555313,-0.5833751871192328,3.640048213434988e-17,2.7368912822433275e-11
