gamma,method,t,meanZ1,meanZ2,varZ1,varZ2,theory_mean,theory_var
0.1,projector,115.0,-1.137194283441651e-16,-9.056254706912241e-17,6.642990708546282e-32,6.438940180354669e-31,1.0530617357553812e-20,1.0530617357553812e-20
0.1,projector,116.0,-2.1823819490101536e-16,1.784214220443103e-16,1.2904537676265902e-31,5.614844840026726e-31,7.058883911899134e-21,7.058883911899134e-21
0.1,projector,117.0,-1.2117538503237007e-16,4.807120818964977e-16,2.453890649718982e-32,3.4473975683380427e-31,4.731711388784468e-21,4.731711388784468e-21
0.1,projector,118.0,-2.930965442771576e-16,4.3725558169403115e-16,8.150107758370136e-32,4.198286182465438e-31,3.1717609959573677e-21,3.1717609959573677e-21
0.1,projector,119.0,-3.5225396906646194e-16,4.186973947595746e-16,7.56314523005551e-32,3.287734519000211e-31,2.126094976824191e-21,2.126094976824191e-21
0.1,projector,120.0,-4.889635960074156e-16,2.0253072410189266e-16,1.8272759078597291e-31,5.0202633441092345e-31,1.4251640827409352e-21,1.4251640827409352e-21
0.1,projector,121.0,-3.151375951975489e-16,-9.200661787314833e-18,1.6674614962794739e-31,1.25297522719446e-31,9.553160535512378e-22,9.553160535512378e-22
0.1,projector,122.0,-8.041273760541039e-17,-3.344847933424333e-16,3.663013147789773e-32,2.3672098618577485e-31,6.403675009950519e-22,6.403675009950519e-22
0.1,projector,123.0,-1.6827815879288332e-16,-2.3393911948785313e-16,6.434022250470842e-32,1.633601947525904e-31,4.292511727467311e-22,4.292511727467311e-22
0.1,projector,124.0,-5.456200355486067e-17,6.089558367612932e-17,2.671528181384763e-32,1.9706711026972125e-31,2.8773566587644137e-22,2.8773566587644137e-22
0.1,projector,125.0,-2.2093204767652234e-16,4.512150742879015e-16,1.0357870674012038e-31,1.3485430609562015e-31,1.9287498479639178e-22,1.9287498479639178e-22
0.1,projector,126.0,-1.8302666259718145e-16,8.690972729879087e-17,2.0229532358760406e-31,5.61435447694611e-32,1.2928796868783984e-22,1.2928796868783984e-22
0.1,projector,127.0,-2.911917027120784e-16,1.9967346175427393e-16,2.1987247745258557e-31,3.1881296240196357e-31,8.666431712268721e-23,8.666431712268721e-23
0.1,projector,128.0,-2.0713596465476376e-16,4.1548385531245015e-17,7.600999063400248e-32,9.427725558632935e-32,5.809282904332702e-23,5.809282904332702e-23
0.1,projector,129.0,-1.0721589243849972e-16,6.835154036433433e-17,1.3622946785272463e-31,1.0969371278952085e-31,3.8940787838663543e-23,3.8940787838663543e-23
0.1,projector,130.0,-1.738292739160091e-16,1.7001304457356582e-16,1.1626204872800795e-31,2.6098012202158864e-31,2.6102790696677047e-23,2.6102790696677047e-23
0.1,projector,131.0,-1.2196439624279786e-16,6.010657246570154e-17,9.319621796002352e-32,2.5653764806698337e-31,1.7497223861455117e-23,1.7497223861455117e-23
0.1,projector,132.0,-1.2751551136592365e-16,-2.7897364211117545e-16,3.9227341107279216e-32,1.4436705938988886e-31,1.1728739904306497e-23,1.1728739904306497e-23
0.1,projector,133.0,-2.375853930458997e-16,-2.4599377051664433e-16,6.6006040187353e-32,2.8069384537871246e-31,7.862009472594782e-24,7.862009472594782e-24
0.1,projector,134.0,-2.2743558358218775e-16,-1.156242699092443e-16,4.1438755560437215e-32,2.0947915681370103e-31,5.270062551602374e-24,5.270062551602374e-24
0.1,projector,135.0,-1.4702611908291982e-16,-4.710604686665572e-17,4.916331205827921e-32,2.850903148245885e-31,3.532628572200807e-24,3.532628572200807e-24
0.1,projector,136.0,-2.4964004407469085e-16,1.8952365229056195e-16,5.173574527663449e-32,1.0696663604230088e-31,2.3679917471444463e-24,2.3679917471444463e-24
0.1,projector,137.0,-2.3012943635769476e-16,2.429665523846287e-16,2.8248484359924486e-32,4.879672081272413e-31,1.5873123369578814e-24,1.5873123369578814e-24
